Hoofdcategorie;Subcategorie;omschr_opleidingshoofdcategorie_nl;omschr_opleidingssubcategorie_nl;benaming
7;72;techniek, fabricage en constructie;fabricage en verwerking;B.06 Insteller/bediener CNC zaagcentrum houtbouw
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Industriële ingenieurswetenschappen
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;De nieuwe culturele, sociale en economische realiteit op de werkvloer - 2
9;91;welzijn en gezondheid;gezondheid;Professionele bachelor in de logopedie en de audiologie - afstudeerrichting logopedie
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Process and Methods
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Technicus onderhoudsmechanica
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Postgraduaat Opleiding Psychotherapie - optie volwassenen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Bedienaar fineersnijmachine
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Darmverwerking naar operatiedraad
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Lecture de plans en tuyauterie isométrique
4;41;handel, administratie en recht;handel en administratie;Management en beleid van de gezondheidszorg
7;71;techniek, fabricage en constructie;techniek en technische beroepen;elektrische en mechanische bijscholing
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Industriële wetenschappen: kunststofverwerking
4;41;handel, administratie en recht;handel en administratie;militantenvorming transport en logistiek – Hasselt Niet rijdend personeel
5;51;natuurwetenschappen, wiskunde en statistiek;biologische wetenschappen en aanverwanten;Connaissance et maîtrise du périnée (CMP)
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Initiation à l’informatique d’aujourd’hui
8;83;land- en bosbouw, visserij en dierengeneeskunde;visserij;Hoefverzorging bij paarden
9;91;welzijn en gezondheid;gezondheid;Osteopathie - Opleiding tot D.O. - Degree in Osteopathy
7;73;techniek, fabricage en constructie;architectuur en constructie;Coffreur-ferrailleur
9;92;welzijn en gezondheid;welzijn;Permanente vorming : Dagelijkse kost 65+, recente inzichten over voeding bij ouderen : theorie en praktijk
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Postgraduaat Intercultureel werken en coachen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Complexe interieurelementen vergaren/monteren
9;91;welzijn en gezondheid;gezondheid;Postgraduaat neurologische taal-en spraakstoornissen
9;91;welzijn en gezondheid;gezondheid;Basiscursus palliatieve zorg voor zorgkundigen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Bussystemen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Positionnement avec moteurs a pas et moteurs asservis
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Electroérosion par enfonçage
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;WERKVOORBEREIDING EN PLANNING -800
4;41;handel, administratie en recht;handel en administratie;Communication 2eme année
7;71;techniek, fabricage en constructie;techniek en technische beroepen;TECHNISCHE OPLEIDINGEN
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ NIEUWE MEDEWERKERS (16/1698)
10;100;diensten;diensten;Attestvernieuwing hoogtewerker 1d
4;41;handel, administratie en recht;handel en administratie;Antwerpen Themamodule : naar een sociaal personeelsbeleid : van werving tot competentiebeleid
10;104;diensten;transportdiensten;Transport- en logistiek medewerker
9;91;welzijn en gezondheid;gezondheid;Radioprotection (RX21)
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Politieke communicatie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Mechanica en materialenleer
9;91;welzijn en gezondheid;gezondheid;Formation en santé communautaire - 270h
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);C#.NET
9;92;welzijn en gezondheid;welzijn;Opleiding tot geheugentrainer
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Opleiding IT-Medewerker
10;104;diensten;transportdiensten;Veilig werken met mobiele arbeidsmiddelen: grondverzet en verplaatsen van lasten
4;41;handel, administratie en recht;handel en administratie;MANAGEMENT - Analyse de la valeur
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Attest vervoer leven vee - pluimvee
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Maatschappijoriëntatie: Mobiliteit
4;41;handel, administratie en recht;handel en administratie;Organisator van evenementen
9;91;welzijn en gezondheid;gezondheid;Lymfologie
9;92;welzijn en gezondheid;welzijn;Permanente vorming welzijn op het werk: basismodule
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Adobe After Effects - Initiation
9;91;welzijn en gezondheid;gezondheid;Certificat de spécialisation en rééducation vestibulaire et des troubles de l'équilibre
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;CMSE (Certified Machinery Safety Expert)
9;91;welzijn en gezondheid;gezondheid;Postgraduaat Oncologische zorg - basismodule
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ Machineopleiding - 40 u
2;23;kunst en menswetenschappen;talen;Duits richtgraad 4
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);3D Studio Max - Spécialisation (Animation de personage)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;MECHANISCHE TECHNIEKEN NIEUWE ELEKTROMEKANIEKERS*
2;23;kunst en menswetenschappen;talen;Arabistiek en Islamkunde
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Référent en informatique
7;71;techniek, fabricage en constructie;techniek en technische beroepen;ACET3A60A-07/06-16 A318/A319/A320/A321 (cfm56) EASA Part-66 B1 B2 Theoretical
9;91;welzijn en gezondheid;gezondheid;Basisvorming polyvalent verzorgende - logsitiek Medewerker
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Backorderrecovery Trucks/Bus (40u)
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Sorteren van appelen en peren
2;21;kunst en menswetenschappen;kunst;Quark Xpress
7;73;techniek, fabricage en constructie;architectuur en constructie;Metselen basistechnieken
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Onderhoud van dieselmotoren
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Hulp-lasser
7;71;techniek, fabricage en constructie;techniek en technische beroepen;INTERNE OPLEIDING MET BETREKKING TOT HYBRIDE WAGENS
2;21;kunst en menswetenschappen;kunst;Digital Arts and Entertainment
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Mecanicien bromfietsen en tuinmateriaal
2;22;kunst en menswetenschappen;menswetenschappen behalve talen;Kunstwetenschappen en archeologie
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Aanleggen van een moestuin 1 volledige dag
9;91;welzijn en gezondheid;gezondheid;Postgraduaat forensische psychodiagnostiek en counseling
9;91;welzijn en gezondheid;gezondheid;formation à l'approche Montessori adaptée aux personnes a^gées atteintes de troubles cognitifs
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Tuinverzorger
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Procesgericht en systeemtheoretisch werken met individuen (OSIH 13)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;TIG-lasser
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Formation continue en santé mentale et psychiatrie : Module de formation panaché - Communication (32h) au choix
9;91;welzijn en gezondheid;gezondheid;Postgraduaat Menopauzeconsulent
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Bachelor in de toegepaste psychologie
9;91;welzijn en gezondheid;gezondheid;Banaba verpleegkunde in de intensieve zorg en spoedgevallenzorg module 3: urgentie en spoedgevallenzorg 
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Programmation CNC - Makino T2
9;92;welzijn en gezondheid;welzijn;Opleidingstrafect counseling
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);AutoCad-basis
4;41;handel, administratie en recht;handel en administratie;Regionale Ondernemingswerking - Deel 1 - Jaargang 2
8;84;land- en bosbouw, visserij en dierengeneeskunde;dierengeneeskunde;Rundveekziekten en medicijnen
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;mentor op de werkvloer
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Motorvoertuigentechniek
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Elektriciteit industriële voertuigen 2
9;91;welzijn en gezondheid;gezondheid;Cervicobrachialgie en Manuele Therapie
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;EHBO-nijverheidshelper (met attest)
9;91;welzijn en gezondheid;gezondheid;Centrale Basiscursus palliatieve zorg najaar 2015 Diksmuide
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Vlees: Conserven
9;90;welzijn en gezondheid;welzijn en gezondheid;Kooperationsmanagement - Leitung in multiprofessionellen Sozial- und Gesundheitsdiensten - MA (Management de coopération - Direction dans des services multiprofessionnels sociaux et de santé - master of arts)
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Postgraduaat Milieucoördinator niveau A
7;73;techniek, fabricage en constructie;architectuur en constructie;Werken met bulldozer
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);VPS OPLEIDING SAFETY AMBASSADORS
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ OPLEIDING GREGALE ZACHT (Z/4813)
4;41;handel, administratie en recht;handel en administratie;Training management I
2;23;kunst en menswetenschappen;talen;Engels richtgraad 1
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Tig lassen buis
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Warehouse-/Lijnverantwoordelijke- Provan bvba
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Mettre au point des boissons aux propriétés organoleptiques et nutionnelles recherchées
9;92;welzijn en gezondheid;welzijn;Le soin relationnel. Communiquer avec la personne agée en perte d'autonomie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Eplan P8 basic training
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Eplan PB Basis Training
2;21;kunst en menswetenschappen;kunst;TECHNIQUE - CATIA
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);INFORMATIQUE - Programmation sécurisée en langage C
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Attestvernieuwing EHBO basis/nijverheidshelper
9;91;welzijn en gezondheid;gezondheid;Postgraduaat Oncologische zorg: voltijds traject Postgraduaat Oncologische zorg: basismodule Postgraduaat Oncologische zorg: verdiepingsmodule
4;41;handel, administratie en recht;handel en administratie;SS en Performance Management
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Basisitechnieken lassen 4d
9;92;welzijn en gezondheid;welzijn;Postgraduaat : verantwoordelijke in de kinderopvang
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);formation professionnelle ERP
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Digitaal drukker
2;21;kunst en menswetenschappen;kunst;Schakelprogramma: master beeldende kunsten (GO)
9;91;welzijn en gezondheid;gezondheid;Gerontologie
10;104;diensten;transportdiensten;Heftruck / Reachtruck (5 dagen)
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);User Experience Designer
2;23;kunst en menswetenschappen;talen;Taaltraining nederlands
9;91;welzijn en gezondheid;gezondheid;Deltaopleiding - hulpverlening
8;82;land- en bosbouw, visserij en dierengeneeskunde;bosbouw;Tree Worker
4;41;handel, administratie en recht;handel en administratie;QC ALGEMEEN
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Technique de débosselage
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Opleiding Buiger
2;21;kunst en menswetenschappen;kunst;Modelage
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;EHBO
4;41;handel, administratie en recht;handel en administratie;Competentiemanagement Management des compétences Structureren van werkplekleren
9;92;welzijn en gezondheid;welzijn;Verkorte leerroute/bachelor sociaal werk (verlenging)
2;21;kunst en menswetenschappen;kunst;Huisschilder
4;42;handel, administratie en recht;recht;Module Juridique de base – Zone 5
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Machineregelaar  spuitgieten
9;92;welzijn en gezondheid;welzijn;Postgraduaat Auti-coach
2;21;kunst en menswetenschappen;kunst;Audiovisuele technieken: fotografie
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Formation en stress au travail et burnout
4;41;handel, administratie en recht;handel en administratie;A15 Magazijnier - goederenbehandelaar
4;41;handel, administratie en recht;handel en administratie;SCM KENNIS OPBOUW IW
5;58;natuurwetenschappen, wiskunde en statistiek;interdisciplinaire programma's en kwalificaties m.b.t. natuurwetenschappen, wiskunde en statistiek;nanowetenschappen, nanotechnologie en nano-engineering
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Opleiding VCE Reman (120u)
7;72;techniek, fabricage en constructie;fabricage en verwerking;Lijnverantwoordelijke lijn 2
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Elektriciteit en schakeldienst
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniek en onderhoud Technique et maintenance Motorsturingen
2;22;kunst en menswetenschappen;menswetenschappen behalve talen;Gegradueerde voor het godsdienstonderricht in het lager secundair onderwijs
9;92;welzijn en gezondheid;welzijn;Formation à la Thérapie Familiale et à l'Intervention Systémique / Troisième Année
1;11;onderwijs;onderwijs;Onderwijs: lager onderwijs
9;91;welzijn en gezondheid;gezondheid;gezondheidswetenschappen
8;80;land- en bosbouw, visserij en dierengeneeskunde;land- en bosbouw, visserij en dierengeneeskunde;Parcours vaste planten en heesters 6d
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Postgraduate Course in Community Service Engineering
9;91;welzijn en gezondheid;gezondheid;Bachelor in de verpleegkunde- programma met studieomvangsvermindering (brugopleiding verpleegkunde)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Installations alimentées au Fuel / Mazout
7;73;techniek, fabricage en constructie;architectuur en constructie;Sanitaire & elekrtische toestellen installeren (i.f.v. interieurbouw)
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Upgrade DB III + naar DB IV
9;91;welzijn en gezondheid;gezondheid;Mesures transitoires Salle d'opération (2014-2016) - Session de september 2015
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Roterende verreiker
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Adobe Flash
4;42;handel, administratie en recht;recht;International and European Law
9;91;welzijn en gezondheid;gezondheid;Bachelor in de verpleegkunde (in hoger afstandsonderwijs met begeleiding op maat) 
10;104;diensten;transportdiensten;INZET BULKWAGEN
9;91;welzijn en gezondheid;gezondheid;Brugtraject bachelor in de verpleegkunde basistraject + keuzetraject geriatrische verpleegkunde, keuzetraject pyshiatrische verpleegkunde, keuzetraject sociale verpleegkunde en keuzetraject ziekenhuisverpleegkunde
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Desserts met ijs - Les glaces / les parfaits
2;21;kunst en menswetenschappen;kunst;Pianostemmer en -hersteller
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Vleeswarenfabricage
7;72;techniek, fabricage en constructie;fabricage en verwerking;Opkitter
9;91;welzijn en gezondheid;gezondheid;Bachelor in de oncologische zorg
10;103;diensten;veiligheidsdiensten;Cours superieur prevention incidence
4;41;handel, administratie en recht;handel en administratie;Communicatie te Peer, Hasselt en Genk
5;51;natuurwetenschappen, wiskunde en statistiek;biologische wetenschappen en aanverwanten;Toegepaste biologische wetenschappen: levensmiddelenwetenschappen en voeding
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Akkerbouw -loonwerk
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);DMS systemen
10;101;diensten;persoonlijke diensten;Sportfunctionaris
9;91;welzijn en gezondheid;gezondheid;Postgraduaat pediatrie en neonatalogie
9;91;welzijn en gezondheid;gezondheid;Formation Tutorat en soins infirmiers
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Groenonderhoud voor onderhoudsarbeiders
4;41;handel, administratie en recht;handel en administratie;Algemene vaardigheden en arbeidsattituden
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Certificat universitaire en clinique psychothérapeutique d'orientation infanto-juvénile
9;91;welzijn en gezondheid;gezondheid;Referentieverpleegkundige wondzorg
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Preventieadviseur niveau 1 (Bedrijfsinterne opleiding bij RETTIG BELGIUM NV)
9;92;welzijn en gezondheid;welzijn;Bachelor Na Bachelor Pediatrie en Neonatologie
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Zwijgen is zilver, duidelijk spreken is goud
5;51;natuurwetenschappen, wiskunde en statistiek;biologische wetenschappen en aanverwanten;Agro- en biotechnologie
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Metrologie tridimentionnelle
9;92;welzijn en gezondheid;welzijn;Formation à l'approche systémique et à la thérapie familiale
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Process and Methods in Application Development
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;VCA basis (geldt ook als attestvernieuwing) 8u
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Specialisatiemodule niveau 1 - arbeidshygiëne
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Hoogvolt - Voertuig
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Beveiligingsopleiding voor leidinggevenden (G4S)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Kraanman
9;92;welzijn en gezondheid;welzijn;Formation à l'approche systémique et à intervention familiale
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Maintenance en robinetterie : niveau 2
7;73;techniek, fabricage en constructie;architectuur en constructie;Graafmachine - wiellader
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Schriftelijke module 1 - Beter nota's nemen en een synthese maken en de vakbondsstrategieën in afwachting van de verkiezingen van 2018 en 2019
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Opleiding operatoren
2;23;kunst en menswetenschappen;talen;Néerlandais dans l'horeca - Module 1
9;91;welzijn en gezondheid;gezondheid;Approfondissement en soins palliatifs
7;71;techniek, fabricage en constructie;techniek en technische beroepen;IRCA CERTIFIED QMS LEAD AUDITOR - AS9100:2016 REV D VARIANT
9;91;welzijn en gezondheid;gezondheid;Professionele bachelor in de verpleegkunde via route 33: opleidingsfase 1
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Formation pluridisciplinaire à la prise en charge de la maltraitance infantile
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Diagnostic et remplacement des roulements
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Onderhoud en afstellen van maaidorsers 3d
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Opzetten van milieumanagementsystemen
9;91;welzijn en gezondheid;gezondheid;Permanente vorming Refertieverpleegkundige Pijn
9;91;welzijn en gezondheid;gezondheid;Basismodule voor verzorgenden
10;104;diensten;transportdiensten;Bestuurder mobiele kraan AV013
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Opleiding resultaten via mensen
4;41;handel, administratie en recht;handel en administratie;PROFESSIONAL COACH
9;91;welzijn en gezondheid;gezondheid;Formation théorique et pratique pour les soins intensifs et aide médicale urgente
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Chemistry
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Outlook avancé
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Usinage : forage, filetage, taraudage
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Chimie minérale
9;91;welzijn en gezondheid;gezondheid;Permanente vorming hematologie
5;54;natuurwetenschappen, wiskunde en statistiek;wiskunde en statistiek;Prism
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Sisco - Wireless
9;91;welzijn en gezondheid;gezondheid;Lactation humaine
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Update BRC-norm
2;23;kunst en menswetenschappen;talen;DUITSE LES - INDIVIDUELE SESSIES
2;23;kunst en menswetenschappen;talen;Taalbad Nederlands voor anderstaligen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;A21 Omstelrijdreductie - SMED
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Basiscursus ergonomie voor (ergo-)therapeuten
7;72;techniek, fabricage en constructie;fabricage en verwerking;Specifieke vorming binnen de zuivelnijverheid
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Sensibilisation à la sécurité
9;91;welzijn en gezondheid;gezondheid;Formation de base en soins palliatifs
9;91;welzijn en gezondheid;gezondheid;Postgraduaat wondzorg 
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Usinage CN tournage : programmeur
7;73;techniek, fabricage en constructie;architectuur en constructie;Aanleggen en verhardingen (tegels, klinkers, kasseien en waterdoorlaatbare verhardingen) 3d
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Breedbandschuurmachinebedienaar
1;11;onderwijs;onderwijs;Formation professionnelle des nouveaux conseillers
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Penta AK (120u)
7;73;techniek, fabricage en constructie;architectuur en constructie;Maçonnerie zinc plomb et cuivre
0;1;algemene programma's en kwalificaties;basisprogramma's en -kwalificaties;Leuven:basisvorming 3
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Onderhoud van heftrucks 1d
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Arbeidswelzijn Bien-être au travail Defensief rijden / Conduite défensive
7;73;techniek, fabricage en constructie;architectuur en constructie;Grijswerk/lijmspuiter vervolmaking
7;71;techniek, fabricage en constructie;techniek en technische beroepen;OTJ nieuwe medewerker profileerlijn basis - 160 u
1;11;onderwijs;onderwijs;Educational Studies
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Module 13 : Cisco CCNA (Version 5) Partie 2 : IPv4 avancé
9;91;welzijn en gezondheid;gezondheid;Kraamzorg - zorgregio Genk, Hasselt, Leuven en Peer
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Technieker centrale verwarming
9;91;welzijn en gezondheid;gezondheid;permanente vorming Klinische psychodiagnotiek kinderen
4;41;handel, administratie en recht;handel en administratie;Communicatie Communication Competentie
4;41;handel, administratie en recht;handel en administratie;Introductie-training HR BP: Total Compensation Policy / job catalogue / .
7;71;techniek, fabricage en constructie;techniek en technische beroepen;HVAC principe de base
9;91;welzijn en gezondheid;gezondheid;Autimse: een methodische benadering
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Programmation CNC Manual Turn
9;91;welzijn en gezondheid;gezondheid;Herbronningsreeks voor verzorgenden - zorgregio Mechelen
9;91;welzijn en gezondheid;gezondheid;Specialisatie - opleiding: pre-therapie. cliëntgerichte zorg voor psychosegevoelgige mesnen. Herstel en versterken van contact
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Autocad
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);ICT infrastructure, network management & internet
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Erkend gebruiker van sproeistoffen
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Vlees: Gelei en Aspic
7;73;techniek, fabricage en constructie;architectuur en constructie;Het Arei - Het Algemeen Reglement op de Elektrische installaties
4;41;handel, administratie en recht;handel en administratie;Marketing opérationnel
10;104;diensten;transportdiensten;Bestuurders-afleveraars
